; ------------------------------------------------
; Fit results:
; ============
; [1,1] amorphous boron: Thickness [nm] = 82.54093
; amorphous boron: N0 = 2.51900
; amorphous boron: N1 = 5982.40000
; amorphous boron: N2 = -8881.40000
; amorphous boron: K0 = -0.42700
; amorphous boron: K1 = 4236.06100
; amorphous boron: K2 = -7917.63300
; ------------------------------------------------
;pattern=*****
;lines
;linecolor=008000
;linewidth=1
;marker=0
;markerborder=0
;markercolor=ff
; 
; Stylerecord: No. 1
;Marker[1]=0
;MarkerWidth[1]=0.0
;MarkerBorder[1]=black
;MarkerColor[1]=white
;lines[1]=1
;LineColor[1]=black
;LineWidth[1]=0.0
;Pattern[1]=*****--*--
; Stylerecord: No. 2
;Marker[2]=0
;MarkerWidth[2]=0.0
;MarkerBorder[2]=black
;MarkerColor[2]=white
;lines[2]=1
;LineColor[2]=black
;LineWidth[2]=0.0
;Pattern[2]=**
; Stylerecord: No. 3
;Marker[3]=0
;MarkerWidth[3]=0.0
;MarkerBorder[3]=black
;MarkerColor[3]=white
;lines[3]=1
;LineColor[3]=black
;LineWidth[3]=0.0
;Pattern[3]=*-
; Stylerecord: No. 4
;Marker[4]=0
;MarkerWidth[4]=0.0
;MarkerBorder[4]=black
;MarkerColor[4]=white
;lines[4]=1
;LineColor[4]=black
;LineWidth[4]=0.0
;Pattern[4]=**--
; Stylerecord: No. 5
;Marker[5]=0
;MarkerWidth[5]=0.0
;MarkerBorder[5]=black
;MarkerColor[5]=white
;lines[5]=1
;LineColor[5]=black
;LineWidth[5]=0.0
;Pattern[5]=***-*-
; Stylerecord: No. 6
;Marker[6]=0
;MarkerWidth[6]=0.0
;MarkerBorder[6]=black
;MarkerColor[6]=white
;lines[6]=1
;LineColor[6]=black
;LineWidth[6]=0.0
;Pattern[6]=**-*-
540.95258 36.89496 166.84874 30.45953 158.08365 23.20674 138.27255
541.80713 36.19372 167.19635 30.70100 158.09088 23.17950 139.50739
542.66174 36.82322 167.67877 30.57449 158.53868 22.69334 139.41711
543.51630 36.10613 167.95795 30.87739 158.67647 23.14245 140.33749
544.37085 36.61988 167.14417 30.79513 158.55847 23.20134 140.22246
545.22546 37.01603 166.89729 30.96324 158.36380 23.19977 141.62669
546.08002 36.54273 168.65491 31.37528 159.20634 23.19901 140.74443
546.95477 37.00788 168.22287 30.98397 158.88010 23.19909 141.14113
547.82953 36.21201 167.55307 31.03986 158.94481 23.06433 141.55482
548.70435 36.37898 168.16806 31.21539 159.18785 23.51123 141.83197
549.57910 36.92768 168.15462 31.31472 159.25076 23.34756 142.42188
550.45386 36.71296 167.76921 31.21711 159.44960 23.69531 142.36824
551.32861 36.53997 167.05174 31.67764 159.21452 23.27502 142.51581
552.20337 36.41009 168.51913 31.29158 159.91528 23.49994 143.03850
553.07813 36.69837 169.12856 31.38101 159.76620 23.82431 143.34637
553.95294 37.12542 168.38086 31.64977 160.46283 23.28037 144.41252
554.82770 36.70799 169.93079 31.35716 160.32805 23.92677 143.95313
555.70245 36.70972 169.40813 31.40326 160.05060 23.76016 144.46660
556.57721 36.35396 169.87079 31.59292 160.46022 23.64580 144.89436
557.45197 37.07606 167.04018 31.72011 160.62451 24.06174 144.91502
558.32678 36.65857 168.24757 31.75811 160.73268 23.93990 143.73701
559.20154 37.26417 169.82118 31.68509 160.68449 24.07493 144.94875
560.07629 37.06475 168.38718 31.90991 161.05325 23.89021 146.69443
560.95105 37.49548 169.51587 31.77961 161.61897 23.97173 145.94247
561.82581 37.00883 168.06750 31.66914 161.92157 23.84490 146.49191
562.70062 37.13965 169.04973 31.92171 161.27180 24.24092 146.52219
563.57538 37.84109 168.89607 32.17626 161.38504 24.12845 146.87555
564.45013 37.51273 168.79631 32.15261 161.87270 24.47338 147.24078
565.32489 37.19616 169.82744 31.78189 162.28043 24.29130 148.29431
566.19965 37.43345 169.49654 31.92711 162.34164 24.21787 147.86143
567.07440 37.11973 168.43694 32.05202 162.72647 24.43484 148.02876
567.94922 37.63432 169.90515 32.06058 162.50453 24.47783 148.07098
568.82397 37.24117 169.35352 32.04306 162.65808 24.50160 148.70328
569.69873 37.88509 169.31129 32.26453 163.18970 24.72171 148.77844
570.57349 37.63382 170.54530 32.34166 163.05931 24.46483 149.44102
571.44824 37.67464 170.39508 32.24655 163.18573 24.61860 149.94514
572.32306 37.90056 169.86099 32.38019 163.58916 24.42236 150.22153
573.19781 37.44053 170.20760 32.51218 163.25577 24.55817 150.65112
574.07257 37.57770 170.34966 32.47441 164.20572 24.66218 150.88396
574.94733 37.69566 170.46469 32.64548 163.96977 24.60751 151.15932
575.82208 37.63410 169.61624 32.74726 163.79811 24.81221 151.45078
576.69690 37.06724 170.70828 32.66679 163.97740 24.95696 151.45033
577.57166 37.82374 170.70354 32.40262 164.39394 24.60962 151.53818
578.44641 37.85121 171.30954 32.42189 164.32722 24.73809 151.72041
579.32117 37.66475 169.98796 32.63618 164.74904 24.91980 151.99727
580.19592 38.07215 170.84668 32.74644 164.75255 24.98050 152.73293
581.07068 37.72723 170.95053 32.77285 165.12065 24.85281 152.64197
581.94550 37.84877 170.95923 32.66256 165.16676 24.82623 152.96684
582.82025 38.04430 171.11263 32.75571 165.62395 25.03120 153.34309
583.69501 38.01440 171.16139 32.65617 165.08154 24.95414 153.36485
584.56976 38.20346 171.20798 32.77019 165.12070 25.18975 153.98738
585.44452 38.31250 171.02890 33.00636 165.79239 25.26899 154.44888
586.31934 38.59568 170.99086 33.13642 165.40671 25.21547 154.88210
