; ------------------------------------------------
; Fit results:
; ============
; [1,1] amorf boor: Thickness [nm] = 91.25912
; amorf boor: N0 = 2.57600
; amorf boor: N1 = 3675.50000
; amorf boor: N2 = -5430.70000
; amorf boor: K0 = 0.02000
; amorf boor: K1 = 215.26800
; amorf boor: K2 = 453.97200
; ------------------------------------------------
;pattern=*****
;lines
;linecolor=008000
;linewidth=1
;marker=0
;markerborder=0
;markercolor=ff
; 
; Stylerecord: No. 1
;Marker[1]=0
;MarkerWidth[1]=0.0
;MarkerBorder[1]=black
;MarkerColor[1]=white
;lines[1]=1
;LineColor[1]=black
;LineWidth[1]=0.0
;Pattern[1]=*****--*--
; Stylerecord: No. 2
;Marker[2]=0
;MarkerWidth[2]=0.0
;MarkerBorder[2]=black
;MarkerColor[2]=white
;lines[2]=1
;LineColor[2]=black
;LineWidth[2]=0.0
;Pattern[2]=**
; Stylerecord: No. 3
;Marker[3]=0
;MarkerWidth[3]=0.0
;MarkerBorder[3]=black
;MarkerColor[3]=white
;lines[3]=1
;LineColor[3]=black
;LineWidth[3]=0.0
;Pattern[3]=*-
; Stylerecord: No. 4
;Marker[4]=0
;MarkerWidth[4]=0.0
;MarkerBorder[4]=black
;MarkerColor[4]=white
;lines[4]=1
;LineColor[4]=black
;LineWidth[4]=0.0
;Pattern[4]=**--
; Stylerecord: No. 5
;Marker[5]=0
;MarkerWidth[5]=0.0
;MarkerBorder[5]=black
;MarkerColor[5]=white
;lines[5]=1
;LineColor[5]=black
;LineWidth[5]=0.0
;Pattern[5]=***-*-
; Stylerecord: No. 6
;Marker[6]=0
;MarkerWidth[6]=0.0
;MarkerBorder[6]=black
;MarkerColor[6]=white
;lines[6]=1
;LineColor[6]=black
;LineWidth[6]=0.0
;Pattern[6]=**-*-
582.82025 37.43618 171.33076 33.08242 166.82762 25.33644 156.51688
583.69501 37.98312 171.34218 33.05686 166.98558 25.40969 156.74626
584.56976 37.89793 170.67020 33.22845 167.15169 25.47915 157.22408
585.44452 37.99924 170.72318 33.23684 166.89749 25.29187 157.30020
586.31934 38.09804 171.20132 33.17330 166.98132 25.46035 157.29671
587.19409 38.31708 171.17607 32.82635 167.31088 25.64741 158.00179
588.06885 37.63040 171.96193 33.40989 167.76385 25.50769 158.14325
588.94360 37.95296 172.15665 33.32595 167.82306 25.67303 157.39493
589.81836 37.66583 172.12241 33.23592 167.72607 25.66579 158.51382
590.69312 38.27467 172.93385 33.48802 167.99773 25.59151 158.53905
591.56793 37.96581 170.97096 32.92274 168.44772 25.73059 159.12584
592.44269 39.26199 170.70914 33.22562 169.21321 25.47416 159.71146
593.31744 37.93108 172.58096 33.33900 168.48848 25.74704 160.33577
594.19220 38.33455 171.22260 33.38284 168.33759 25.78302 160.01271
595.06696 37.18107 171.80247 33.42308 168.93048 25.66812 160.67570
595.94177 38.22577 172.88875 33.55373 168.83029 25.71742 160.75777
596.81653 37.88628 173.07782 33.56781 169.25810 25.95263 160.63515
597.69128 37.90930 172.85555 33.42065 168.73750 25.85780 160.96869
598.56604 39.19185 170.20467 33.34913 168.76186 25.94800 161.70091
599.44080 37.75872 173.03134 33.18632 169.37775 25.63654 161.68535
600.31561 38.15655 174.22305 33.54778 169.59650 25.94650 162.09283
601.19037 37.64743 173.29317 33.36707 170.42935 25.99837 162.30365
602.06512 38.16644 172.92146 33.54580 169.67267 25.95962 163.00809
602.93988 38.48768 172.05550 33.65574 169.84300 25.67536 163.51799
603.81464 39.06835 172.95157 33.58738 169.99420 25.99886 162.63304
604.68939 37.19131 171.92081 33.47802 170.37611 26.07943 163.21165
605.56421 38.08460 175.19037 33.74691 170.76656 26.00908 163.90166
606.43896 37.81483 176.02635 33.87943 169.99210 25.98509 164.35446
607.31372 38.50623 175.40288 33.89301 171.48320 25.96108 163.85039
608.18848 37.40251 173.32343 33.74796 171.27733 26.07399 164.12987
609.06323 37.79622 175.85640 33.86649 171.26532 25.97041 164.64857
609.93805 39.57904 173.40567 34.06839 171.20233 26.43298 164.93867
610.81281 38.09461 173.30417 33.85680 171.16895 26.21418 164.94060
611.68756 37.87976 173.88057 33.59799 171.54227 26.22567 165.59877
612.56232 38.46292 173.00458 33.89534 171.62503 26.36925 166.23167
613.43707 38.26345 175.00198 34.04022 171.76826 26.23407 166.18666
614.31189 38.48801 175.15074 33.70570 171.91873 25.98589 166.32283
615.18665 38.85305 174.49013 33.98217 171.85092 26.32399 166.62387
616.06140 37.92874 175.35356 33.59591 172.21837 25.89024 166.91602
616.93616 37.92731 174.96967 34.06428 172.71803 26.22823 167.93361
617.81091 37.80801 176.71815 34.08617 172.02022 26.21473 167.52287
618.68567 39.60686 175.09306 33.74496 172.56429 26.12277 168.17511
619.56049 38.34270 174.46390 33.91441 173.02092 26.16984 168.02179
620.43524 38.21451 177.75795 34.02056 173.13045 26.34106 168.27678
621.31000 38.49090 176.40288 33.99932 173.44287 26.40190 168.66156
622.18475 38.97311 175.07993 33.88205 172.96086 26.21085 168.75952
623.05951 38.81884 173.06758 33.93690 172.90309 26.25831 169.25684
623.93433 38.42366 175.55141 33.89747 172.86360 26.69866 169.64987
624.80908 37.74398 174.83995 34.12930 173.86214 26.80799 169.83510
625.68384 38.34947 175.16013 34.16242 173.63907 26.44461 169.88264
626.55859 38.21857 175.70821 34.18905 173.60921 26.02126 170.17288
627.43335 38.46255 176.10149 34.03344 173.88419 26.32796 170.25418
628.30811 38.40464 177.00439 33.90523 173.80423 26.52383 171.10492
629.18292 38.54110 176.81837 34.11193 174.58784 26.48495 170.47224
630.05768 38.32834 174.57097 34.09458 174.73042 26.37878 171.42496
630.93243 38.42340 175.02515 34.11781 175.08336 26.45689 171.85353
631.80719 38.52354 175.31404 34.03859 175.31587 26.66121 171.52138
632.68195 38.84515 176.46608 34.03273 175.10954 26.41256 172.61955
633.55676 38.92977 178.33809 34.16599 174.24989 26.55530 172.91280
634.43152 38.58438 176.76981 34.18503 175.24261 26.82783 172.59636
635.30627 39.89859 175.97008 34.44085 175.64594 26.41979 172.99982
636.18103 39.48816 176.55441 34.41693 175.63748 26.63202 173.34294
637.05579 39.91475 178.63589 34.47135 175.59647 26.77518 173.10228
637.93060 38.66074 175.91750 34.31685 175.25305 26.70715 173.61565
638.80536 37.82590 176.36653 33.99006 175.71391 26.84103 174.51430
639.68011 38.25932 177.95703 34.14485 176.44724 26.64284 174.64420
640.55487 38.20083 179.79218 34.20586 176.16309 26.87993 174.61481
641.42963 39.15850 176.88606 34.55563 176.54233 26.59043 174.83850
642.30438 38.37125 174.33546 34.07566 176.15593 26.41314 174.59344
643.17920 38.88639 177.07184 33.93135 176.09564 26.72979 175.79866
644.05396 38.63998 177.94109 34.32417 176.74591 26.69816 175.52312
644.92871 38.68166 174.59369 34.31763 177.01060 27.04285 176.15189
645.80347 38.96054 176.73497 34.40402 176.61819 26.62424 176.12581
646.67822 39.04625 177.93288 34.74715 177.41611 26.86459 176.67117
647.55304 38.18114 176.56363 34.49048 177.04987 26.71821 176.52962
648.42780 38.34430 178.61763 34.21987 177.17429 26.99185 177.32291
649.30255 38.65681 176.26205 34.23891 177.36356 26.62004 177.11671
650.17731 38.83107 177.78470 34.40853 177.49495 26.93925 177.79066
651.05206 38.69188 178.08945 34.14418 177.67555 26.73379 177.53534
651.92688 39.02934 178.67145 34.41002 178.09258 26.81166 177.96698
652.80164 39.32091 179.18779 34.37006 178.70650 26.89134 178.21533
653.67639 38.54951 177.47995 34.12024 177.57327 26.91555 178.24637
654.55115 37.88177 180.11908 34.33624 178.79146 26.81739 178.97105
655.42590 37.98709 176.32768 34.35408 178.41011 26.84504 179.48425
656.30066 39.18867 176.48517 34.31610 178.53467 26.93032 179.11787
657.17548 38.84937 176.17525 34.37807 178.72064 27.09165 178.55191
658.05023 38.25590 178.97763 34.42858 178.11877 27.02190 179.52150
658.92499 38.41014 178.31291 34.33382 178.97110 27.04200 179.81827
659.79974 38.09231 178.97069 34.43480 178.38966 26.97562 180.38980
660.67450 37.82212 176.43159 34.37339 179.28870 27.03321 179.99905
661.54932 38.07899 179.76387 34.50323 179.17390 27.07407 179.87206
662.42407 38.10001 178.79010 34.56601 179.51186 26.97822 181.02679
663.29883 37.76972 179.05519 34.65952 179.20721 26.66223 180.87961
664.17358 37.89035 180.76001 34.51911 179.38033 27.03966 181.38564
665.04834 37.65255 179.45270 34.15127 180.41202 27.04576 181.81326
665.92310 37.98018 179.27953 34.45346 179.73985 26.84851 181.64117
666.79791 38.63563 181.94885 34.25874 181.24947 26.88082 181.11499
667.67267 38.28990 179.03615 34.60188 180.53831 26.96062 182.70691
668.54742 38.67503 181.49942 34.25669 180.64531 26.76892 182.74110
669.42218 38.07780 179.96251 34.45511 181.21391 27.01422 182.14554
670.29694 39.46973 181.72871 34.59015 180.70055 27.07213 183.13245
671.17175 39.08587 178.76834 34.74141 181.28333 26.85017 183.51476
