; ------------------------------------------------
; Fit results:
; ============
; [1,1] amorphous boron: Thickness [nm] = 92.07656
; amorphous boron: N0 = 2.54600
; amorphous boron: N1 = 4017.90000
; amorphous boron: N2 = -5964.50000
; amorphous boron: K0 = -0.00200
; amorphous boron: K1 = -352.24300
; amorphous boron: K2 = -253.47100
; ------------------------------------------------
;pattern=*****
;lines
;linecolor=008000
;linewidth=1
;marker=0
;markerborder=0
;markercolor=ff
;
; Stylerecord: No. 1
;Marker[1]=0
;MarkerWidth[1]=0.0
;MarkerBorder[1]=black
;MarkerColor[1]=white
;lines[1]=1
;LineColor[1]=black
;LineWidth[1]=0.0
;Pattern[1]=*****--*--
; Stylerecord: No. 2
;Marker[2]=0
;MarkerWidth[2]=0.0
;MarkerBorder[2]=black
;MarkerColor[2]=white
;lines[2]=1
;LineColor[2]=black
;LineWidth[2]=0.0
;Pattern[2]=**
; Stylerecord: No. 3
;Marker[3]=0
;MarkerWidth[3]=0.0
;MarkerBorder[3]=black
;MarkerColor[3]=white
;lines[3]=1
;LineColor[3]=black
;LineWidth[3]=0.0
;Pattern[3]=*-
; Stylerecord: No. 4
;Marker[4]=0
;MarkerWidth[4]=0.0
;MarkerBorder[4]=black
;MarkerColor[4]=white
;lines[4]=1
;LineColor[4]=black
;LineWidth[4]=0.0
;Pattern[4]=**--
; Stylerecord: No. 5
;Marker[5]=0
;MarkerWidth[5]=0.0
;MarkerBorder[5]=black
;MarkerColor[5]=white
;lines[5]=1
;LineColor[5]=black
;LineWidth[5]=0.0
;Pattern[5]=***-*-
; Stylerecord: No. 6
;Marker[6]=0
;MarkerWidth[6]=0.0
;MarkerBorder[6]=black
;MarkerColor[6]=white
;lines[6]=1
;LineColor[6]=black
;LineWidth[6]=0.0
;Pattern[6]=**-*-
595.066956	38.443081	172.617035	33.199409	167.236374	25.357220	157.299484
595.941772	37.990261	172.365631	33.352810	167.371857	25.319941	157.878723
596.816528	38.416920	171.579788	33.379261	167.985748	25.579470	158.252960
597.691284	38.498402	172.019470	33.449928	168.068771	25.516359	157.991989
598.566040	38.366520	172.425034	33.234169	167.814651	25.587500	159.033188
599.440796	37.727852	172.250473	33.567501	167.551453	25.356060	159.417679
600.315613	38.239021	172.016541	33.251289	168.244141	25.594170	159.148560
601.190369	38.642120	172.629944	33.459641	168.319534	25.603491	159.724915
602.065125	37.621201	172.998535	33.155380	168.299194	25.661200	159.725189
602.939880	38.088120	172.046234	33.600559	168.877197	25.534929	160.063583
603.814636	38.439041	173.023849	33.553879	168.836029	25.660891	161.000290
604.689392	38.270710	172.201462	33.888828	168.772385	25.822041	160.405350
605.564209	38.871571	174.456665	33.405079	169.469009	25.813620	160.734940
606.438965	38.665749	171.721039	33.240879	169.542053	25.880680	160.959427
607.313721	38.446129	173.340332	33.203400	169.354507	25.979059	161.603287
608.188477	38.439480	173.482758	33.635658	168.843674	25.871410	161.872833
609.063232	38.242790	173.481888	33.474510	169.688721	25.658279	162.087479
609.938049	38.688519	172.794083	33.661880	169.775742	25.818029	162.132614
610.812805	38.809860	172.760300	33.539841	170.182388	26.202080	163.073181
611.687561	38.258099	172.400436	33.548382	170.389755	25.758011	162.925766
612.562317	38.514809	174.039383	33.625389	170.374222	25.921709	163.380951
613.437073	38.731979	174.543320	33.583569	171.064850	25.737240	163.431351
614.311890	38.071831	174.522614	33.790161	170.459641	26.043980	163.705017
615.186646	39.169441	173.135498	33.759838	170.471161	25.844440	163.790314
616.061401	38.127491	174.572723	33.880230	170.319931	26.142450	164.399765
